centreline_id,direction,location,class_type,daily_temperature,daily_precipitation,datetime_bin_start,datetime_bin_end,volume
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 13:00,6/18/2011 14:00,5
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 12:00,6/18/2011 13:00,6
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 11:00,6/18/2011 12:00,4
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 10:00,6/18/2011 11:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 9:00,6/18/2011 10:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 8:00,6/18/2011 9:00,2
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 7:00,6/18/2011 8:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 6:00,6/18/2011 7:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 5:00,6/18/2011 6:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 4:00,6/18/2011 5:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 3:00,6/18/2011 4:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 2:00,6/18/2011 3:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 1:00,6/18/2011 2:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 0:00,6/18/2011 1:00,1
1140250,Northbound,POPLAR PLAINS RD NB S OF EDMUND AVE,Cyclists,22,0,9/29/2013 23:00,9/30/2013 0:00,3
1140250,Northbound,POPLAR PLAINS RD NB S OF EDMUND AVE,Cyclists,22,0,9/29/2013 22:00,9/29/2013 23:00,21
1140250,Northbound,POPLAR PLAINS RD NB S OF EDMUND AVE,Cyclists,22,0,9/29/2013 21:00,9/29/2013 22:00,3
1140250,Northbound,POPLAR PLAINS RD NB S OF EDMUND AVE,Cyclists,22,0,9/29/2013 20:00,9/29/2013 21:00,8
1140250,Northbound,POPLAR PLAINS RD NB S OF EDMUND AVE,Cyclists,22,0,9/29/2013 19:00,9/29/2013 20:00,3
1140250,Northbound,POPLAR PLAINS RD NB S OF EDMUND AVE,Cyclists,22,0,9/29/2013 18:00,9/29/2013 19:00,24
1140250,Northbound,POPLAR PLAINS RD NB S OF EDMUND AVE,Cyclists,22,0,9/29/2013 17:00,9/29/2013 18:00,28
1140250,Northbound,POPLAR PLAINS RD NB S OF EDMUND AVE,Cyclists,22,0,9/29/2013 16:00,9/29/2013 17:00,24
